Sites	Agabus	Ancylus	Baetis	Caenis	Chalcolestes	Cloeon	Cordulia	Crocothemis	Dugesia	Epitheca	Galba	Gerris	Gomphus	Gyraulus	Haliplus	Helophorus	Hydropsyche	Hydroptila	Laccophilus	Leuctra	Limnebius	Limnephilus	Meladema	Mesophylax	Mesovelia	Metaporus	Mystacides	Nemoura	Notonecta	Odontocerum	Onychogomphus	Orthetrum	Oulimnius	Physa	Pisidium	Polycentropus	Radix	Riolus	Sigara	Sympetrum	Synagapetus	Thraulus	Tinodes	Wormaldia
GA-1	0	0	1	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MR-1	0.5625	0	3.5	15	0	3.5	0	0	0	0	0	0	0	0	0	0	1	0	0.375	0	0	0	0.062	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MR-10	1.689	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.125	1	0	0	0.186	9	0	0	0	23	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MR-12	8.445	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.625	0	0	0	0.93	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0
MR-2	0	0	9	14	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0
MR-3	0.5625	7	110	85	0	0	0	0	1	0	0	0	0	1	0	0	2	5	0.375	15	0	0	0.062	22	0	0	0	0	2	0	0	0	0	0	0	0	61	0	0	0	0	2	0	0
MR-4	7.882	0	279	7	0	0	0	0	0	0	0	0	0	0	1	1	0	1	5.25	0	0	0	0.868	0	0	0	0	6	1	0	0	0	0	0	0	0	17	0	0	0	0	3	0	0
MR-6	3.941	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.625	0	0	0	0.434	11	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MR-7	0.5625	0	111	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375	2	0	0	0.062	7	0	0	0	1	0	0	0	0	0.67	0	0	0	1	0.33	0	0	0	0	0	0
MR-8	2.815	1	301	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1.875	1	0	0	0.31	6	0	0	0	79	0	0	0	0	2.01	0	0	0	4	0.99	0	0	0	4	0	3
MR-9	0.5625	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0	0	0	0.062	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
RN-1	1	0	2.5	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.999705661	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0
RN-2	3.997810917	0	2.998822729	0	0	0	0.834	0	0	0.166	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999705661	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN-3	0	0	12.99919741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP-2	0	0	86.00799404	21	1	0	0	0	0	0	0.999705661	0	0.857	0	0	0	0	0	0	0	0	0	0	2.998822729	0	0	0	4	0	0	0.143	0	0	0	0	0	0	0	0	0	0	2	0	0
RP-3	0	0	2.00116336	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP-4	2.815	0	0	0	0.5	0	0	0	0	0	0	1	0	0	0	1	0	3	1.875	0	0	0	0.31	2.00116336	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1
RP-5	3	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999705661	3	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	1
RP-6	0	9	6.996468446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	1	0	0	11.00112025	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
RP-7	0	4	110	92	0.5	0	0	0.25	0	0	0	0	0	2.00116336	0	0	0	8	0	32	0	0	0	22.99870811	1	12	0	37	1	0	0	0.5	1.998163696	4	0	0	0	0.999705661	10	0.25	0	24	1	5
SI-1	0	2	209	7	0	0	5.938	0	0	1.162	7.997979031	0	0	0	0	0	0	0	0	0	0	0	0	2.998822729	3	3	0	9	2	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0
SI-2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999705661	2.00116336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
